,name,full_name,year,pryntry,try,total,try_public,try_private,pisa_read,pisa_math,pisa_science,rd_exp,researchers_rd_permillionpeople,high_tech_exports,patent_res_per100people,patent_nres_per100people,gdp_percapita_dividedby1000,gini_index
1,ARG,Argentina,2013,4.4,1.1,5.5,1.09,0.01,,,,0.61,28.07,7.26,0.02,0.1,13.03,42.28
2,AUS,Australia,2013,3.9,1.7,5.6,0.72,0.98,503,494,510,2.2,,12.91,0.13,1.15,67.65,
3,AUT,Austria,2013,3.2,1.7,4.9,1.61,0.09,485,497,495,2.96,561.75,13.72,0.25,0.03,50.5,30.48
4,BEL,Belgium,2013,4.4,1.4,5.8,1.25,0.15,499,507,502,2.43,371.66,11.49,0.06,0.01,46.51,27.59
5,BRA,Brazil,2013,4.3,0.9,5.2,,,407,377,401,1.24,,9.63,0.02,0.13,12.07,52.87
6,CAN,Canada,2012,3.6,2.5,6.1,1.3,1.2,527,516,528,1.79,133.36,13.78,0.14,0.88,52.5,
7,CHE,Switzerland,2013,3.9,1.2,5.1,,,492,521,506,2.97,560.35,26.51,0.19,0.08,84.66,31.64
8,CHL,Chile,2014,3.1,2.3,5.4,0.86,1.44,459,423,447,0.38,24.09,6.17,0.03,0.15,14.57,50.45
9,COL,Colombia,2013,4.3,2.2,6.5,1.12,1.08,425,390,416,0.26,3.21,7.39,0.01,0.04,8.03,53.49
10,CRI,Costa Rica,2013,5.7,2.6,8.3,1.58,1.02,,,,0.56,76.03,43.32,0.0,0.12,10.55,49.18
11,CZE,Czech Republic,2013,2.7,1.3,4.0,1.0,0.3,487,492,493,1.91,309.09,14.79,0.09,0.01,19.92,26.13
12,DEU,Germany,2013,3.1,1.2,4.3,1.03,0.17,509,506,509,2.83,53.57,16.08,0.58,0.19,45.69,
13,DNK,Denmark,2013,4.6,1.7,6.3,1.6,0.1,500,511,502,3.08,1276.63,14.33,0.24,0.03,60.36,29.08
14,ESP,Spain,2013,3.0,1.3,4.3,0.9,0.4,496,486,493,1.26,56.9,7.67,0.06,0.0,29.37,35.89
15,EST,Estonia,2013,3.1,2.0,5.1,1.63,0.37,519,520,534,1.71,2533.02,10.55,0.02,0.01,19.03,33.15
16,FIN,Finland,2013,3.9,1.8,5.7,1.73,0.07,526,511,531,3.3,1321.56,7.21,0.29,0.03,49.64,27.12
17,FRA,France,2013,3.8,1.5,5.3,1.18,0.32,499,493,495,2.24,63.21,25.9,0.22,0.03,42.57,33.1
18,GBR,United Kingdom,2013,4.8,1.8,6.6,1.03,0.77,498,492,509,1.66,65.27,21.86,0.23,0.12,42.41,32.57
19,HUN,Hungary,2013,2.5,1.3,3.8,0.82,0.48,470,477,477,1.4,255.01,16.34,0.06,0.01,13.61,30.55
20,IDN,Indonesia,2013,2.3,0.5,2.8,0.35,0.15,397,386,403,0.08,,7.05,0.0,0.03,3.63,39.47
21,IRL,Ireland,2013,4.0,1.2,5.2,0.93,0.27,521,504,503,1.54,784.19,22.42,0.07,0.01,52.03,32.52
22,ISL,Iceland,2013,4.6,1.3,5.9,1.19,0.11,482,488,473,1.87,18510.55,15.47,0.1,0.04,47.49,26.94
23,ISR,Israel,2013,4.3,1.7,6.0,0.86,0.84,479,470,467,4.09,1043.6,15.61,0.15,0.62,36.39,
24,ITA,Italy,2013,3.0,1.0,4.0,0.67,0.33,485,490,481,1.31,32.27,7.24,0.14,0.02,35.37,35.16
25,JPN,Japan,2013,2.9,1.6,4.5,0.56,1.04,516,532,538,3.47,40.85,16.78,2.13,0.45,40.49,
26,KOR,"Korea, Rep.",2013,3.6,2.3,5.9,0.75,1.55,517,524,516,4.15,128.57,27.1,3.19,0.89,26.0,
