,name,full_name,year,pryntry,try_public,try_private,pisa_read,pisa_math,pisa_science,rd_exp,researchers_rd_permillionpeople,high_tech_exports,patent_res_per100people,patent_nres_per100people,gdp_percapita_dividedby1000,gini_index
1,AUT,Austria,2013,3.2,1.61,0.09,485.0,497.0,495.0,2.96,561.75,13.72,0.25,0.03,50.5,30.48
2,BEL,Belgium,2013,4.4,1.25,0.15,499.0,507.0,502.0,2.43,371.66,11.49,0.06,0.01,46.51,27.59
3,CHL,Chile,2014,3.1,0.86,1.44,459.0,423.0,447.0,0.38,24.09,6.17,0.03,0.15,14.57,50.45
4,COL,Colombia,2013,4.3,1.12,1.08,425.0,390.0,416.0,0.26,3.21,7.39,0.01,0.04,8.03,53.49
5,CZE,Czech Republic,2013,2.7,1.0,0.3,487.0,492.0,493.0,1.91,309.09,14.79,0.09,0.01,19.92,26.13
6,DNK,Denmark,2013,4.6,1.6,0.1,500.0,511.0,502.0,3.08,1276.63,14.33,0.24,0.03,60.36,29.08
7,ESP,Spain,2013,3.0,0.9,0.4,496.0,486.0,493.0,1.26,56.9,7.67,0.06,0.0,29.37,35.89
8,EST,Estonia,2013,3.1,1.63,0.37,519.0,520.0,534.0,1.71,2533.02,10.55,0.02,0.01,19.03,33.15
9,FIN,Finland,2013,3.9,1.73,0.07,526.0,511.0,531.0,3.3,1321.56,7.21,0.29,0.03,49.64,27.12
10,FRA,France,2013,3.8,1.18,0.32,499.0,493.0,495.0,2.24,63.21,25.9,0.22,0.03,42.57,33.1
11,GBR,United Kingdom,2013,4.8,1.03,0.77,498.0,492.0,509.0,1.66,65.27,21.86,0.23,0.12,42.41,32.57
12,HUN,Hungary,2013,2.5,0.82,0.48,470.0,477.0,477.0,1.4,255.01,16.34,0.06,0.01,13.61,30.55
13,IRL,Ireland,2013,4.0,0.93,0.27,521.0,504.0,503.0,1.54,784.19,22.42,0.07,0.01,52.03,32.52
14,ISL,Iceland,2013,4.6,1.19,0.11,482.0,488.0,473.0,1.87,18510.55,15.47,0.1,0.04,47.49,26.94
15,ITA,Italy,2013,3.0,0.67,0.33,485.0,490.0,481.0,1.31,32.27,7.24,0.14,0.02,35.37,35.16
16,LUX,Luxembourg,2013,2.9,0.47,0.03,481.0,486.0,483.0,1.3,8455.81,6.58,0.21,0.1,113.73,34.79
17,LVA,Latvia,2013,3.1,0.95,0.45,488.0,482.0,490.0,0.61,895.25,13.01,0.11,0.0,15.03,35.48
18,NLD,Netherlands,2013,3.8,1.2,0.5,503.0,512.0,509.0,1.96,271.43,20.41,0.14,0.03,51.57,27.99
19,NOR,Norway,2013,4.7,1.54,0.06,513.0,502.0,498.0,1.65,1096.43,19.14,0.22,0.13,102.91,25.9
20,POL,Poland,2013,3.4,1.13,0.27,506.0,504.0,501.0,0.87,48.65,7.81,0.11,0.0,13.78,32.55
21,PRT,Portugal,2013,4.7,0.81,0.59,498.0,492.0,501.0,1.33,345.71,4.31,0.06,0.0,21.62,36.04
22,RUS,Russian Federation,2013,2.3,0.91,0.49,495.0,494.0,487.0,1.13,21.41,10.01,0.2,0.11,15.55,41.59
23,SVK,Slovak Republic,2013,2.7,0.83,0.27,453.0,475.0,461.0,0.83,502.01,10.31,0.03,0.0,18.19,26.12
24,SWE,Sweden,2013,3.7,1.52,0.18,500.0,494.0,493.0,3.31,694.77,14.06,0.24,0.02,60.28,27.32
25,TUR,Turkey,2013,3.3,1.48,0.33,428.0,420.0,425.0,0.94,15.33,1.88,0.06,0.0,10.8,40.18
26,USA,United States,2013,3.5,0.94,1.66,497.0,470.0,496.0,2.73,12.79,17.82,0.91,0.9,52.75,41.06
