"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PISAREAD","TOT","MEANSCORE","A","2012",512,
"AUS","PISAREAD","TOT","MEANSCORE","A","2015",503,
"AUT","PISAREAD","TOT","MEANSCORE","A","2012",490,
"AUT","PISAREAD","TOT","MEANSCORE","A","2015",485,
"BEL","PISAREAD","TOT","MEANSCORE","A","2012",509,
"BEL","PISAREAD","TOT","MEANSCORE","A","2015",499,
"CAN","PISAREAD","TOT","MEANSCORE","A","2012",523,
"CAN","PISAREAD","TOT","MEANSCORE","A","2015",527,
"CZE","PISAREAD","TOT","MEANSCORE","A","2012",493,
"CZE","PISAREAD","TOT","MEANSCORE","A","2015",487,
"DNK","PISAREAD","TOT","MEANSCORE","A","2012",496,
"DNK","PISAREAD","TOT","MEANSCORE","A","2015",500,
"FIN","PISAREAD","TOT","MEANSCORE","A","2012",524,
"FIN","PISAREAD","TOT","MEANSCORE","A","2015",526,
"FRA","PISAREAD","TOT","MEANSCORE","A","2012",505,
"FRA","PISAREAD","TOT","MEANSCORE","A","2015",499,
"DEU","PISAREAD","TOT","MEANSCORE","A","2012",508,
"DEU","PISAREAD","TOT","MEANSCORE","A","2015",509,
"GRC","PISAREAD","TOT","MEANSCORE","A","2012",477,
"GRC","PISAREAD","TOT","MEANSCORE","A","2015",467,
"HUN","PISAREAD","TOT","MEANSCORE","A","2012",488,
"HUN","PISAREAD","TOT","MEANSCORE","A","2015",470,
"ISL","PISAREAD","TOT","MEANSCORE","A","2012",483,
"ISL","PISAREAD","TOT","MEANSCORE","A","2015",482,
"IRL","PISAREAD","TOT","MEANSCORE","A","2012",523,
"IRL","PISAREAD","TOT","MEANSCORE","A","2015",521,
"ITA","PISAREAD","TOT","MEANSCORE","A","2012",490,
"ITA","PISAREAD","TOT","MEANSCORE","A","2015",485,
"JPN","PISAREAD","TOT","MEANSCORE","A","2012",538,
"JPN","PISAREAD","TOT","MEANSCORE","A","2015",516,
"KOR","PISAREAD","TOT","MEANSCORE","A","2012",536,
"KOR","PISAREAD","TOT","MEANSCORE","A","2015",517,
"LUX","PISAREAD","TOT","MEANSCORE","A","2012",488,
"LUX","PISAREAD","TOT","MEANSCORE","A","2015",481,
"MEX","PISAREAD","TOT","MEANSCORE","A","2012",424,
"MEX","PISAREAD","TOT","MEANSCORE","A","2015",423,
"NLD","PISAREAD","TOT","MEANSCORE","A","2012",511,
"NLD","PISAREAD","TOT","MEANSCORE","A","2015",503,
"NZL","PISAREAD","TOT","MEANSCORE","A","2012",512,
"NZL","PISAREAD","TOT","MEANSCORE","A","2015",509,
"NOR","PISAREAD","TOT","MEANSCORE","A","2012",504,
"NOR","PISAREAD","TOT","MEANSCORE","A","2015",513,
"POL","PISAREAD","TOT","MEANSCORE","A","2012",518,
"POL","PISAREAD","TOT","MEANSCORE","A","2015",506,
"PRT","PISAREAD","TOT","MEANSCORE","A","2012",488,
"PRT","PISAREAD","TOT","MEANSCORE","A","2015",498,
"SVK","PISAREAD","TOT","MEANSCORE","A","2012",463,
"SVK","PISAREAD","TOT","MEANSCORE","A","2015",453,
"ESP","PISAREAD","TOT","MEANSCORE","A","2012",488,
"ESP","PISAREAD","TOT","MEANSCORE","A","2015",496,
"SWE","PISAREAD","TOT","MEANSCORE","A","2012",483,
"SWE","PISAREAD","TOT","MEANSCORE","A","2015",500,
"CHE","PISAREAD","TOT","MEANSCORE","A","2012",509,
"CHE","PISAREAD","TOT","MEANSCORE","A","2015",492,
"TUR","PISAREAD","TOT","MEANSCORE","A","2012",475,
"TUR","PISAREAD","TOT","MEANSCORE","A","2015",428,
"GBR","PISAREAD","TOT","MEANSCORE","A","2012",499,
"GBR","PISAREAD","TOT","MEANSCORE","A","2015",498,
"USA","PISAREAD","TOT","MEANSCORE","A","2012",498,
"USA","PISAREAD","TOT","MEANSCORE","A","2015",497,
"BRA","PISAREAD","TOT","MEANSCORE","A","2012",407,
"BRA","PISAREAD","TOT","MEANSCORE","A","2015",407,
"CHL","PISAREAD","TOT","MEANSCORE","A","2012",441,
"CHL","PISAREAD","TOT","MEANSCORE","A","2015",459,
"EST","PISAREAD","TOT","MEANSCORE","A","2012",516,
"EST","PISAREAD","TOT","MEANSCORE","A","2015",519,
"IDN","PISAREAD","TOT","MEANSCORE","A","2012",396,
"IDN","PISAREAD","TOT","MEANSCORE","A","2015",397,
"ISR","PISAREAD","TOT","MEANSCORE","A","2012",486,
"ISR","PISAREAD","TOT","MEANSCORE","A","2015",479,
"LVA","PISAREAD","TOT","MEANSCORE","A","2012",489,
"LVA","PISAREAD","TOT","MEANSCORE","A","2015",488,
"RUS","PISAREAD","TOT","MEANSCORE","A","2012",475,
"RUS","PISAREAD","TOT","MEANSCORE","A","2015",495,
"SVN","PISAREAD","TOT","MEANSCORE","A","2012",481,
"SVN","PISAREAD","TOT","MEANSCORE","A","2015",505,
"OAVG","PISAREAD","TOT","MEANSCORE","A","2012",496,
"OAVG","PISAREAD","TOT","MEANSCORE","A","2015",493,
"COL","PISAREAD","TOT","MEANSCORE","A","2015",425,
"HKG","PISAREAD","TOT","MEANSCORE","A","2015",527,
"PER","PISAREAD","TOT","MEANSCORE","A","2015",398,
"SGP","PISAREAD","TOT","MEANSCORE","A","2015",535,
"TWN","PISAREAD","TOT","MEANSCORE","A","2015",497,
"MAC","PISAREAD","TOT","MEANSCORE","A","2015",509,
