"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PISASCIENCE","TOT","MEANSCORE","A","2012",521,
"AUS","PISASCIENCE","TOT","MEANSCORE","A","2015",510,
"AUT","PISASCIENCE","TOT","MEANSCORE","A","2012",506,
"AUT","PISASCIENCE","TOT","MEANSCORE","A","2015",495,
"BEL","PISASCIENCE","TOT","MEANSCORE","A","2012",505,
"BEL","PISASCIENCE","TOT","MEANSCORE","A","2015",502,
"CAN","PISASCIENCE","TOT","MEANSCORE","A","2012",525,
"CAN","PISASCIENCE","TOT","MEANSCORE","A","2015",528,
"CZE","PISASCIENCE","TOT","MEANSCORE","A","2012",508,
"CZE","PISASCIENCE","TOT","MEANSCORE","A","2015",493,
"DNK","PISASCIENCE","TOT","MEANSCORE","A","2012",498,
"DNK","PISASCIENCE","TOT","MEANSCORE","A","2015",502,
"FIN","PISASCIENCE","TOT","MEANSCORE","A","2012",545,
"FIN","PISASCIENCE","TOT","MEANSCORE","A","2015",531,
"FRA","PISASCIENCE","TOT","MEANSCORE","A","2012",499,
"FRA","PISASCIENCE","TOT","MEANSCORE","A","2015",495,
"DEU","PISASCIENCE","TOT","MEANSCORE","A","2012",524,
"DEU","PISASCIENCE","TOT","MEANSCORE","A","2015",509,
"GRC","PISASCIENCE","TOT","MEANSCORE","A","2012",467,
"GRC","PISASCIENCE","TOT","MEANSCORE","A","2015",455,
"HUN","PISASCIENCE","TOT","MEANSCORE","A","2012",494,
"HUN","PISASCIENCE","TOT","MEANSCORE","A","2015",477,
"ISL","PISASCIENCE","TOT","MEANSCORE","A","2012",478,
"ISL","PISASCIENCE","TOT","MEANSCORE","A","2015",473,
"IRL","PISASCIENCE","TOT","MEANSCORE","A","2012",522,
"IRL","PISASCIENCE","TOT","MEANSCORE","A","2015",503,
"ITA","PISASCIENCE","TOT","MEANSCORE","A","2012",494,
"ITA","PISASCIENCE","TOT","MEANSCORE","A","2015",481,
"JPN","PISASCIENCE","TOT","MEANSCORE","A","2012",547,
"JPN","PISASCIENCE","TOT","MEANSCORE","A","2015",538,
"KOR","PISASCIENCE","TOT","MEANSCORE","A","2012",538,
"KOR","PISASCIENCE","TOT","MEANSCORE","A","2015",516,
"LUX","PISASCIENCE","TOT","MEANSCORE","A","2012",491,
"LUX","PISASCIENCE","TOT","MEANSCORE","A","2015",483,
"MEX","PISASCIENCE","TOT","MEANSCORE","A","2012",415,
"MEX","PISASCIENCE","TOT","MEANSCORE","A","2015",416,
"NLD","PISASCIENCE","TOT","MEANSCORE","A","2012",522,
"NLD","PISASCIENCE","TOT","MEANSCORE","A","2015",509,
"NZL","PISASCIENCE","TOT","MEANSCORE","A","2012",516,
"NZL","PISASCIENCE","TOT","MEANSCORE","A","2015",513,
"NOR","PISASCIENCE","TOT","MEANSCORE","A","2012",495,
"NOR","PISASCIENCE","TOT","MEANSCORE","A","2015",498,
"POL","PISASCIENCE","TOT","MEANSCORE","A","2012",526,
"POL","PISASCIENCE","TOT","MEANSCORE","A","2015",501,
"PRT","PISASCIENCE","TOT","MEANSCORE","A","2012",489,
"PRT","PISASCIENCE","TOT","MEANSCORE","A","2015",501,
"SVK","PISASCIENCE","TOT","MEANSCORE","A","2012",471,
"SVK","PISASCIENCE","TOT","MEANSCORE","A","2015",461,
"ESP","PISASCIENCE","TOT","MEANSCORE","A","2012",496,
"ESP","PISASCIENCE","TOT","MEANSCORE","A","2015",493,
"SWE","PISASCIENCE","TOT","MEANSCORE","A","2012",485,
"SWE","PISASCIENCE","TOT","MEANSCORE","A","2015",493,
"CHE","PISASCIENCE","TOT","MEANSCORE","A","2012",515,
"CHE","PISASCIENCE","TOT","MEANSCORE","A","2015",506,
"TUR","PISASCIENCE","TOT","MEANSCORE","A","2012",463,
"TUR","PISASCIENCE","TOT","MEANSCORE","A","2015",425,
"GBR","PISASCIENCE","TOT","MEANSCORE","A","2012",514,
"GBR","PISASCIENCE","TOT","MEANSCORE","A","2015",509,
"USA","PISASCIENCE","TOT","MEANSCORE","A","2012",497,
"USA","PISASCIENCE","TOT","MEANSCORE","A","2015",496,
"BRA","PISASCIENCE","TOT","MEANSCORE","A","2012",402,
"BRA","PISASCIENCE","TOT","MEANSCORE","A","2015",401,
"CHL","PISASCIENCE","TOT","MEANSCORE","A","2012",445,
"CHL","PISASCIENCE","TOT","MEANSCORE","A","2015",447,
"EST","PISASCIENCE","TOT","MEANSCORE","A","2012",541,
"EST","PISASCIENCE","TOT","MEANSCORE","A","2015",534,
"IDN","PISASCIENCE","TOT","MEANSCORE","A","2012",382,
"IDN","PISASCIENCE","TOT","MEANSCORE","A","2015",403,
"ISR","PISASCIENCE","TOT","MEANSCORE","A","2012",470,
"ISR","PISASCIENCE","TOT","MEANSCORE","A","2015",467,
"LVA","PISASCIENCE","TOT","MEANSCORE","A","2012",502,
"LVA","PISASCIENCE","TOT","MEANSCORE","A","2015",490,
"RUS","PISASCIENCE","TOT","MEANSCORE","A","2012",487,
"SVN","PISASCIENCE","TOT","MEANSCORE","A","2012",514,
"SVN","PISASCIENCE","TOT","MEANSCORE","A","2015",513,
"OAVG","PISASCIENCE","TOT","MEANSCORE","A","2012",501,
"OAVG","PISASCIENCE","TOT","MEANSCORE","A","2015",493,
"COL","PISASCIENCE","TOT","MEANSCORE","A","2015",416,
"HKG","PISASCIENCE","TOT","MEANSCORE","A","2015",523,
"PER","PISASCIENCE","TOT","MEANSCORE","A","2015",397,
"SGP","PISASCIENCE","TOT","MEANSCORE","A","2015",556,
"TWN","PISASCIENCE","TOT","MEANSCORE","A","2015",532,
"MAC","PISASCIENCE","TOT","MEANSCORE","A","2015",529,
