"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2012",1.6,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2013",1.7,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2012",1.8,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2013",1.7,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2012",1.4,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2013",1.4,
"CAN","EDUPRIVEXP","TRY","PC_GDP","A","2012",2.5,
"CAN","EDUPRIVEXP","TRY","PC_GDP","A","2013",,"M"
"CZE","EDUPRIVEXP","TRY","PC_GDP","A","2012",1.4,
"CZE","EDUPRIVEXP","TRY","PC_GDP","A","2013",1.3,
"DNK","EDUPRIVEXP","TRY","PC_GDP","A","2012",,"M"
"DNK","EDUPRIVEXP","TRY","PC_GDP","A","2013",1.7,
"FIN","EDUPRIVEXP","TRY","PC_GDP","A","2012",1.8,
"FIN","EDUPRIVEXP","TRY","PC_GDP","A","2013",1.8,
"FRA","EDUPRIVEXP","TRY","PC_GDP","A","2012",1.4,
"FRA","EDUPRIVEXP","TRY","PC_GDP","A","2013",1.5,
"DEU","EDUPRIVEXP","TRY","PC_GDP","A","2012",1.2,
"DEU","EDUPRIVEXP","TRY","PC_GDP","A","2013",1.2,
"ISL","EDUPRIVEXP","TRY","PC_GDP","A","2012",1.3,
"ISL","EDUPRIVEXP","TRY","PC_GDP","A","2013",1.3,
"IRL","EDUPRIVEXP","TRY","PC_GDP","A","2012",1.4,
"IRL","EDUPRIVEXP","TRY","PC_GDP","A","2013",1.2,
"ITA","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.9,
"ITA","EDUPRIVEXP","TRY","PC_GDP","A","2013",1,
"JPN","EDUPRIVEXP","TRY","PC_GDP","A","2012",1.5,
"JPN","EDUPRIVEXP","TRY","PC_GDP","A","2013",1.6,
"KOR","EDUPRIVEXP","TRY","PC_GDP","A","2012",2.3,
"KOR","EDUPRIVEXP","TRY","PC_GDP","A","2013",2.3,
"MEX","EDUPRIVEXP","TRY","PC_GDP","A","2012",1.3,
"MEX","EDUPRIVEXP","TRY","PC_GDP","A","2013",1.3,
"NLD","EDUPRIVEXP","TRY","PC_GDP","A","2012",1.7,
"NLD","EDUPRIVEXP","TRY","PC_GDP","A","2013",1.7,
"NZL","EDUPRIVEXP","TRY","PC_GDP","A","2012",1.9,
"NZL","EDUPRIVEXP","TRY","PC_GDP","A","2013",1.8,
"NOR","EDUPRIVEXP","TRY","PC_GDP","A","2012",1.6,
"NOR","EDUPRIVEXP","TRY","PC_GDP","A","2013",1.6,
"POL","EDUPRIVEXP","TRY","PC_GDP","A","2012",1.3,
"POL","EDUPRIVEXP","TRY","PC_GDP","A","2013",1.4,
"PRT","EDUPRIVEXP","TRY","PC_GDP","A","2012",1.3,
